date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:46	4894/4894	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2014%20Oct%202024%2008:06:46%20GMT	https://ec1b5e-86.myshopify.com/checkouts/internal/preloads.js?locale=en-IN	E:/e/html%20jio/ec1b5e-86.myshopify.com/checkouts/internal/preloadsd568.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:46	9611/9611	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2028%20Aug%202024%2023:16:16%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	E:/e/html%20jio/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:46%20GMT	http://ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-f4e7948c1c9e4f45ef404dbb8b5dbcaa265bad73ea228bf111efe71177b448d9.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-f4e7948c1c9e4f45ef404dbb8b5dbcaa265bad73ea228bf111efe71177b448d9.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:47	12661/12661	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2004%20Oct%202024%2019:04:14%20GMT	https://ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-f4e7948c1c9e4f45ef404dbb8b5dbcaa265bad73ea228bf111efe71177b448d9.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-f4e7948c1c9e4f45ef404dbb8b5dbcaa265bad73ea228bf111efe71177b448d9.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:47	213978/213978	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2014%20Oct%202024%2008:00:35%20GMT	https://ec1b5e-86.myshopify.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:47%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/base.css?v=17835562726764950411726805318	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/base0a5c.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:49	67356/67356	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2004:08:42%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/base.css?v=17835562726764950411726805318	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/base0a5c.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:49%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-cart-items.css?v=123238115697927560811726804365	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-cart-items8eb5.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:49	4707/4707	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Sep%202024%2004:06:38%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-cart-items.css?v=123238115697927560811726804365	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-cart-items8eb5.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:50%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561726804365	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/component-predictive-search72b1.css	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
